Tabela de Destino (SQLite),Nome da Coluna,Tipo SQL (SQLite),Obrigatoriedade,Chave / Relacionamento,Propósito / Descrição (O que o Script faz aqui?)
etl_run_log,run_id,TEXT,NOT NULL,PRIMARY KEY,UUID único gerado pelo Rust a cada vez que o script de ETL é iniciado.
etl_run_log,lote_id,TEXT,NOT NULL,-,Identificador do lote submetido (ex: LOTE_015_Infra).
etl_run_log,timestamp_inicio,INTEGER,NOT NULL,-,Timestamp (ISO-8601) cravado no milissegundo em que o lote começou.
etl_run_log,timestamp_fim,INTEGER,-,-,Timestamp de término (fica NULL até o lote acabar ou abortar).
etl_run_log,status_lote,TEXT,NOT NULL,-,"Enum de Controle: 'RUNNING', 'COMPLETED' ou 'FAILED'."
etl_run_log,cached_input_tokens,INTEGER,NOT NULL,-,Soma de tokens de entrada que atingiram o 'Cache Hit'. Vital para o crate iron_cost subtrair o desconto correto de provedores como Anthropic e DeepSeek.
etl_run_log,total_input_tokens,INTEGER,NOT NULL,-,Soma de tokens de entrada mastigados neste lote de ETL. Vital para telemetria de HardwareOps e FinOps.
etl_run_log,total_output_tokens,INTEGER,NOT NULL,-,Soma de tokens de saída gerados (decodificação restrita do Pydantic) neste lote.
etl_run_log,total_cost_usd,REAL,NOT NULL,-,"Custo financeiro exato (em Dólares) do lote, calculado nativamente pelo Rust (crate iron_cost). Se o modelo foi 100% local, grava 0.0."
etl_run_log,primary_model_routed,TEXT,NOT NULL,-,O modelo principal que o ParetoBandit escalou para este lote (ex: deepseek/deepseek-v4-pro ou qwen2.5-3b local).
etl_run_log,total_repos_processed,INTEGER,NOT NULL,-,Contagem absoluta de repositórios que chegaram com sucesso à Fase 3 neste lote (Status: CONCLUIDO). Essencial para o cálculo de custo por repo.
etl_run_log,total_short_circuits,INTEGER,NOT NULL,-,Contagem de repositórios ejetados preventivamente neste lote (Status: SHORT-CIRCUIT). Mede a taxa de toxicidade e falhas mecânicas do lote.
etl_run_log,execution_latency_ms,INTEGER,NOT NULL,-,Tempo total de execução do lote em milissegundos. Variável crítica (lt​) para o cálculo de eficiência do ParetoBandit penalizar modelos com degradação de velocidade.
,,,,,
etl_errors,error_id,INTEGER,NOT NULL,PRIMARY KEY (AUTOINCREMENT),ID sequencial exclusivo do erro.
