Coluna (Sheets),Nome da Coluna (SSOT),Tipo (Sheets),Obrigatoriedade,Descrição
A,project_name,TEXT,NOT NULL,"Owner / Repo (formatado com espaços)."
B,repo_url,TEXT,NOT NULL,URL do repositório (canônica).
C,repo_version,TEXT,NOT NULL,Tag de release ou SHA curto usado na análise.
D,ultima_versao_online,TEXT,NOT NULL,Última versão observável na nuvem (tag/sha).
E,indicacao_otimista_canibalizacao,TEXT,NOT NULL,"Emita estritamente entre 3 e 5 bullet points otimistas e diretos. Sintetize tudo o que o SOULS pode roubar deste projeto hoje ou no futuro, incluindo lógicas, inspirações de UX, conhecimentos teóricos ou códigos físicos."
F,lote_id,TEXT,NOT NULL,Identificador do lote/bateria de execução.
G,data_ultima_analise,TEXT,NOT NULL,"Data/hora UTC formatada (YYYY-MM-DDTHH:MM:SSZ)."
H,analise_origem,TEXT,NOT NULL,Assinatura do motor/fluxo que gerou a linha.
I,licenca,TEXT,NOT NULL,Licença SPDX (quando disponível).
J,stack_base,TEXT,NOT NULL,Stack detectada (string/bullets) para auditoria.
J,declared_description,TEXT,NOT NULL,"Descrição declarada do repositório. Heurística SSOT: prioridade 1 = seção ABOUT no topo da página GitHub; prioridade 2 = README; prioridade 3 = título/headline da página do repositório. Limite elástico: ~2000 caracteres."
L,lente_a_sentido_prod_ux,TEXT,NOT NULL,Lente A normalizada (bullets).
M,lente_b_estrutura_arq,TEXT,NOT NULL,Lente B normalizada (bullets).
N,lente_c_realidade_ops,TEXT,NOT NULL,Lente C normalizada (bullets).
O,proposta_original_resumo,TEXT,NOT NULL,"Resumo técnico neutro (Bloco 1). Limite elástico: ~3000 caracteres."
P,visao_do_enxame,TEXT,NOT NULL,"Síntese dialética das 3 lentes (Bloco 2). Limite elástico: ~3000 caracteres."
Q,justificativa_decisao,TEXT,NOT NULL,"Justificativa da decisão (Bloco 2). Limite elástico: ~3000 caracteres."
R,executive_verdict,TEXT,NOT NULL,"Veredito executivo (Bloco 2). Limite elástico: ~3000 caracteres."
S,risco_principal,TEXT,NOT NULL,"Risco principal (idealmente frase curta). Limite elástico: ~3000 caracteres."
T,risco_linha_vermelha,TEXT,NOT NULL,"Restrição de linha vermelha (imperativo). Limite elástico: ~3000 caracteres."
U,observacoes,TEXT,NOT NULL,"Observações/ressalvas. Limite elástico: ~3000 caracteres."
V,ouro_a_extrair,TEXT,NOT NULL,"Ouro a extrair (Bloco 3). Limite elástico: ~3000 caracteres."
W,deep_pattern,TEXT,NOT NULL,"Padrão profundo (Bloco 3). Limite elástico: ~3000 caracteres."
X,transplantable_core,TEXT,NOT NULL,"Núcleo transplantável (Bloco 3). Limite elástico: ~3000 caracteres."
Y,logic_math_heuristic,TEXT,NOT NULL,"Heurística lógico-matemática (Bloco 3). Limite elástico: ~3000 caracteres."
Z,real_structural_problem,TEXT,NOT NULL,"Problema estrutural real (Bloco 3). Limite elástico: ~3000 caracteres."
AA,categoria_nuance_tecnica,TEXT,NOT NULL,Categoria/nuance técnica (Bloco 3).
AB,integracao_papel_exato,TEXT,NOT NULL,Papel exato da integração (Bloco 3).
AC,must_components_prod_ux,TEXT,NOT NULL,"Lista (bullets) de componentes de Produto/UX. Limite elástico: ~3000 caracteres."
AD,must_components_arq,TEXT,NOT NULL,"Lista (bullets) de componentes de Arquitetura. Limite elástico: ~3000 caracteres."
AE,must_components_ops,TEXT,NOT NULL,"Lista (bullets) de componentes de Operações. Limite elástico: ~3000 caracteres."
AF,detected_toxic_deps,TEXT,NOT NULL,"Lista (bullets) de dependências tóxicas detectadas. Limite elástico: ~3000 caracteres."
AG,do_not_absorb,TEXT,NOT NULL,"Lista (bullets) do que não absorver. Limite elástico: ~3000 caracteres."
AH,where_ai_should_not_enter,TEXT,NOT NULL,"Restrições imperativas (zona proibida para IA). Limite elástico: ~3000 caracteres."
AI,classificacao_terminal,TEXT,NOT NULL,"Enum estrito do veredito final de adoção. Valores canônicos: STACK_CORE_PLANO_A1 | STACK_CORE_PLANO_A2 | STACK_CORE_PLANO_B | INTEGRATE_AS_COMPONENT | ABSORB_PARTIALLY | ABSORB_CONCEPT | USE_AS_INSPIRATION_ONLY | REJECT | SHORT-CIRCUIT."
AJ,acao_de_canibalizacao,TEXT,NOT NULL,"Enum estrito da ação de canibalização. Valores canônicos: Data Model / Schema | Prompt / Heuristic Seed | Protocol / Standard | Concept | UX Pattern | Canvas Refinement | New Canvas | Cognitive Layer | Infra Capability | Technical Runtime | Sandbox | Plugin | External Contract | No Absorption."
AK,categoria_arquitetural,TEXT,NOT NULL,Enum humanizado da categoria arquitetural.
